scenario_id,scenario_name,scenario_type,annual_baseline_kwh,annual_saved_kwh_p10,annual_saved_kwh_p50,annual_saved_kwh_p90,uncertainty_method,uncertainty_calibration_status,saving_rate_pct_p50,annual_saving_cny_p10,annual_saving_cny_p50,annual_saving_cny_p90,capex_cny_assumption,capex_status,simple_payback_years_p50,avoided_tco2e_maic_p50,carbon_boundary,result_type
baseline,Baseline,baseline,345676.69,0.0,0.0,0.0,engineering_screening_multipliers_0.75_1.00_1.25,not_calibrated_as_statistical_quantiles,0.0,0.0,0.0,0.0,0,not_applicable,,0.0,Malaysia deployment scenario only,screening_estimate_with_uncertainty
hvac_setpoint,Comfort-constrained HVAC optimisation,operational,345676.69,5369.11,7158.82,8948.52,engineering_screening_multipliers_0.75_1.00_1.25,not_calibrated_as_statistical_quantiles,2.07,2888.58,3851.44,4814.3,8000,screening_assumption_needs_supplier_quote,2.08,5.298,Malaysia deployment scenario only,screening_estimate_with_uncertainty
schedule_optimization,HVAC operating-hours optimisation,operational,345676.69,3758.38,5011.17,6263.96,engineering_screening_multipliers_0.75_1.00_1.25,not_calibrated_as_statistical_quantiles,1.45,2022.01,2696.01,3370.01,12000,screening_assumption_needs_supplier_quote,4.45,3.708,Malaysia deployment scenario only,screening_estimate_with_uncertainty
led_retrofit,LED lighting retrofit,retrofit,345676.69,14724.66,19632.89,24541.11,engineering_screening_multipliers_0.75_1.00_1.25,not_calibrated_as_statistical_quantiles,5.68,7921.87,10562.49,13203.12,45000,screening_assumption_needs_supplier_quote,4.26,14.528,Malaysia deployment scenario only,screening_estimate_with_uncertainty
plug_management,Plug-load and standby management,behavioral,345676.69,7334.12,9778.82,12223.53,engineering_screening_multipliers_0.75_1.00_1.25,not_calibrated_as_statistical_quantiles,2.83,3945.75,5261.01,6576.26,18000,screening_assumption_needs_supplier_quote,3.42,7.236,Malaysia deployment scenario only,screening_estimate_with_uncertainty
combo_package,Combined package (HVAC + LED + operations),portfolio,345676.69,31186.27,41581.69,51977.11,engineering_screening_multipliers_0.75_1.00_1.25,not_calibrated_as_statistical_quantiles,12.03,16778.21,22370.95,27963.69,62000,screening_assumption_needs_supplier_quote,2.77,30.77,Malaysia deployment scenario only,screening_estimate_with_uncertainty
